P,T,C,G,D,S,bodySegment,skill,Mark,w,r2,peak,nt,n,r2_alpha
10,2,2,12,2,1,3,1,R_TH1,0.467895101808498,0.562170494086709,3.46153846153846,0.908280743646597,52,0.830821366032459
10,2,2,12,2,1,3,1,L_SK1,0.466413541338711,0.558202672051118,2.86206896551724,1.05211598746082,58,0.460623020150115
10,2,2,12,2,1,3,1,R_SK1,0.44707185871507,0.587155010570811,3.56603773584906,0.951988244153454,53,0.619019155174215
10,2,2,12,2,1,3,1,L_FM2,0.485680974457409,0.618274516027188,1.5625,0.691466879157428,32,0.683993590318193
10,2,2,12,2,1,3,1,R_FM2,0.516540080317512,0.524921275219052,2.64705882352941,0.636200599973914,34,0.792418304514277
10,2,2,12,2,2,1,1,RUA1,0.427727150070523,0.633494805534163,4.18181818181818,0.827799301538797,44,0.727125193138433
10,2,2,12,2,2,1,1,LUA1,0.426939820515267,0.611314414458523,3.05882352941176,0.970146882282324,51,0.814178687248102
10,2,2,12,2,2,1,1,LF1,0.434377945128503,0.600703321517045,3.97560975609756,0.761272801803648,41,0.687544038294567
10,2,2,12,2,2,1,1,RF1,0.391290696943403,0.673332865020964,3.10344827586207,1.06516744628886,58,0.781512246006681
10,2,2,12,2,2,1,1,L_HM1,0.460183695405485,0.554063933323281,4.65853658536585,0.82940737270518,41,0.685576750042817
10,2,2,12,2,2,1,1,R_HM1,0.410949240749267,0.620930033366778,3.7719298245614,1.07914218318907,57,0.811911155216961
10,2,2,12,2,2,2,1,STRN,0.479810864133628,0.555066299083781,3.04918032786885,1.10877629740421,61,0.63500051029553
10,2,2,12,2,2,2,1,LFHD,0.443391477014318,0.5999074780426,2.82692307692308,0.975251639117185,52,0.762373517081606
10,2,2,12,2,2,2,1,L_IAS,0.439466078929811,0.584772731787009,3.41860465116279,0.805822328931572,43,0.79259490545641
10,2,2,12,2,2,2,1,R_IAS,0.442143753601848,0.607653408047403,3.85106382978723,0.910979285331154,47,0.659106269990657
10,2,2,12,2,2,3,1,L_TH1,0.480336873599863,0.538021831007985,3.4468085106383,0.869830911087839,47,0.600650718230526
10,2,2,12,2,2,3,1,R_TH1,0.45198022964487,0.586325574083461,3.11764705882353,0.932225831509074,51,0.847383534321754
10,2,2,12,2,2,3,1,L_SK1,0.511092546671722,0.50164004804906,3.14,0.960540216086434,50,0.59207117495268
10,2,2,12,2,2,3,1,R_SK1,0.468923707710712,0.547423885443318,3.19230769230769,1.08062840520824,52,0.805971441650465
10,2,2,12,2,2,3,1,L_FM2,0.601442919213309,0.4383385507573,1.85185185185185,0.785925481303632,27,0.398143729814401
10,2,2,12,2,2,3,1,R_FM2,0.494195230174973,0.555628970479122,2.84210526315789,0.720998925886144,38,0.738725054070712
10,2,2,13,1,1,1,1,RUA1,0.462624981955257,0.562757507512112,5.2,0.688354849861126,65,0.898421372660295
10,2,2,13,1,1,1,1,LUA1,0.456129418290975,0.549738649554264,5.265625,0.640598365101503,64,0.920678765907555
10,2,2,13,1,1,1,1,LF1,0.473271150144,0.524308280902571,4.91044776119403,0.633857675823579,67,0.668563120559694
10,2,2,13,1,1,1,1,RF1,0.483278408959533,0.509743452853087,6.40983606557377,0.63799783046645,61,0.895405787108414
10,2,2,13,1,1,1,1,L_HM1,0.464669824563078,0.55074988438256,5.52857142857143,0.672869761572691,70,0.834331831284595
